X Gaze Data, Y Gaze Data, Time 
(0, 0), 1920 x 1080
912,408,866483295
910,402,866483304
909,399,866483314
908,399,866483342
907,401,866483347
907,401,866483373
910,401,866483381
910,402,866483394
910,404,866483404
914,413,866483414
918,423,866483426
920,424,866483450
921,425,866483460
912,408,866483295
910,402,866483304
909,399,866483314
908,399,866483342
907,401,866483347
907,401,866483373
910,401,866483381
922,428,866483470
910,402,866483394
910,404,866483404
914,413,866483414
918,423,866483426
920,424,866483450
921,425,866483460
922,428,866483470
922,428,866483482
922,428,866483482
921,429,866483498
921,429,866483498
922,431,866483503
921,433,866483528
922,430,866483537
922,430,866483547
922,429,866483560
922,429,866483570
922,429,866483580
923,428,866483607
925,428,866483614
926,428,866483626
924,428,866483639
924,428,866483647
924,428,866483660
923,427,866483671
922,426,866483680
921,425,866483693
921,426,866483703
921,427,866483720
921,427,866483726
921,428,866483751
921,428,866483759
921,426,866483770
851,380,866483783
879,399,866483793
870,393,866483803
684,286,866483815
500,175,866483826
480,163,866483836
459,150,866483861
433,132,866483870
412,119,866483880
413,116,866483907
411,108,866483914
408,106,866483926
411,105,866483939
465,84,866483947
453,89,866483959
568,79,866483971
583,78,866483981
603,76,866483992
617,73,866484017
639,71,866484026
636,70,866484036
651,69,866484047
653,66,866484059
652,65,866484070
652,65,866484094
649,61,866484103
647,62,866484114
647,62,866484141
648,65,866484147
649,66,866484159
649,66,866484173
649,66,866484180
649,67,866484192
648,69,866484204
648,70,866484213
648,70,866484225
645,64,866484251
644,63,866484259
644,64,866484269
644,64,866484282
645,67,866484292
648,68,866484303
648,68,866484329
655,65,866484336
655,64,866484361
656,62,866484369
656,62,866484380
657,61,866484407
652,62,866484413
653,62,866484425
653,65,866484438
653,65,866484446
654,66,866484459
656,68,866484484
655,68,866484492
651,66,866484503
652,67,866484515
652,67,866484525
653,67,866484535
667,64,866484561
680,57,866484569
681,56,866484580
689,50,866484608
690,47,866484612
690,48,866484625
688,53,866484639
687,51,866484646
687,53,866484658
683,46,866484669
682,49,866484684
678,54,866484690
666,90,866484723
332,44,866484735
310,41,866484760
92,46,866484769
87,46,866484779
111,27,866484792
82,39,866484802
81,39,866484813
81,39,866484838
80,40,866484846
80,39,866484858
77,36,866484870
77,36,866484879
77,36,866484891
78,39,866484902
78,41,866484913
81,49,866484925
81,50,866484949
82,50,866484958
81,50,866484969
81,50,866484980
79,48,866484991
80,48,866485002
80,48,866485026
79,48,866485036
78,48,866485045
78,50,866485058
78,50,866485073
78,50,866485079
78,51,866485091
78,55,866485103
78,56,866485113
78,57,866485125
78,56,866485149
76,56,866485158
76,55,866485169
76,55,866485180
76,54,866485191
76,54,866485202
75,51,866485213
74,51,866485225
73,48,866485235
70,48,866485245
63,47,866485272
44,47,866485279
41,47,866485291
32,47,866485303
28,46,866485313
20,48,866485325
20,48,866485350
19,46,866485358
19,46,866485368
19,46,866485381
18,46,866485391
17,43,866485402
14,41,866485427
15,41,866485435
19,45,866485446
20,46,866485458
20,45,866485474
20,45,866485479
20,44,866485491
22,43,866485506
23,44,866485512
23,42,866485524
22,42,866485537
22,39,866485546
22,38,866485558
21,37,866485584
21,37,866485591
22,37,866485602
24,34,866485614
33,27,866485624
42,22,866485635
44,21,866485661
45,15,866485668
45,15,866485679
47,16,866485692
46,16,866485702
45,16,866485713
46,16,866485724
45,17,866485738
45,18,866485745
45,18,866485758
43,16,866485768
42,16,866485779
42,15,866485791
44,17,866485801
44,17,866485814
47,20,866485824
47,20,866485835
47,20,866485862
46,17,866485868
46,18,866485893
44,21,866485902
45,22,866485912
45,21,866485925
44,21,866485935
198,87,866485945
162,72,866485972
773,395,866485978
820,424,866485991
843,437,866486002
861,448,866486011
871,459,866486024
